Run	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[cultivar]	Sample Characteristic Ontology Term[cultivar]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Factor Value[environmental stress]	Factor Value Ontology Term[environmental stress]	Factor Value[genotype]	Factor Value Ontology Term[genotype]	Analysed
SRR1663705	14 day		Oh43 inbred line		seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	salt treatment	http://purl.obolibrary.org/obo/EO_0007185	Oh43 inbred line		No
SRR1663706	14 day		Oh43 inbred line		seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	UV light regimen	http://purl.obolibrary.org/obo/EO_0007222	Oh43 inbred line		No
SRR1685963	14 day		Mo17 inbred line	http://www.ebi.ac.uk/efo/EFO_0007590	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	cold temperature regimen	http://purl.obolibrary.org/obo/EO_0007174	Mo17 inbred line		Yes
SRR1685964	14 day		Mo17 inbred line	http://www.ebi.ac.uk/efo/EFO_0007590	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	control	http://www.ebi.ac.uk/efo/EFO_0001461	Mo17 inbred line		Yes
SRR1685982	14 day		Mo17 inbred line	http://www.ebi.ac.uk/efo/EFO_0007590	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	warm/hot temperature regimen	http://purl.obolibrary.org/obo/EO_0007319	Mo17 inbred line		Yes
SRR1819196	14 day		B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	warm/hot temperature regimen	http://purl.obolibrary.org/obo/EO_0007319	B73 inbred line		Yes
SRR1819198	14 day		B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	warm/hot temperature regimen	http://purl.obolibrary.org/obo/EO_0007319	B73 inbred line		Yes
SRR1819204	14 day		B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	cold temperature regimen	http://purl.obolibrary.org/obo/EO_0007174	B73 inbred line		Yes
SRR1819205	14 day		B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	cold temperature regimen	http://purl.obolibrary.org/obo/EO_0007174	B73 inbred line		Yes
SRR1819617	14 day		B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	control	http://www.ebi.ac.uk/efo/EFO_0001461	B73 inbred line		Yes
SRR1819621	14 day		B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	control	http://www.ebi.ac.uk/efo/EFO_0001461	B73 inbred line		Yes
SRR1819622	14 day		Mo17 inbred line	http://www.ebi.ac.uk/efo/EFO_0007590	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	warm/hot temperature regimen	http://purl.obolibrary.org/obo/EO_0007319	Mo17 inbred line		Yes
SRR1819624	14 day		Mo17 inbred line	http://www.ebi.ac.uk/efo/EFO_0007590	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	warm/hot temperature regimen	http://purl.obolibrary.org/obo/EO_0007319	Mo17 inbred line		Yes
SRR1819625	14 day		Mo17 inbred line	http://www.ebi.ac.uk/efo/EFO_0007590	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	cold temperature regimen	http://purl.obolibrary.org/obo/EO_0007174	Mo17 inbred line		Yes
SRR1819627	14 day		Mo17 inbred line	http://www.ebi.ac.uk/efo/EFO_0007590	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	cold temperature regimen	http://purl.obolibrary.org/obo/EO_0007174	Mo17 inbred line		Yes
SRR1819630	14 day		Mo17 inbred line	http://www.ebi.ac.uk/efo/EFO_0007590	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	control	http://www.ebi.ac.uk/efo/EFO_0001461	Mo17 inbred line		Yes
SRR1819632	14 day		Mo17 inbred line	http://www.ebi.ac.uk/efo/EFO_0007590	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	control	http://www.ebi.ac.uk/efo/EFO_0001461	Mo17 inbred line		Yes
